BoekID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
0	https://www.literatuurplein.nl/boekdetail.jsp?boekId=0	http://web.archive.org/web/20191125105628/https://www.literatuurplein.nl/boekdetail?boekId=0	200	Klik
9	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9	http://web.archive.org/web/20191128044011/https://www.literatuurplein.nl/boekdetail?boekId=9	200	Klik
54	https://www.literatuurplein.nl/boekdetail.jsp?boekId=54	http://web.archive.org/web/20191127204953/https://www.literatuurplein.nl/boekdetail?boekId=54	200	Klik
84	https://www.literatuurplein.nl/boekdetail.jsp?boekId=84	http://web.archive.org/web/20191128030259/https://www.literatuurplein.nl/boekdetail?boekId=84	200	Klik
113	https://www.literatuurplein.nl/boekdetail.jsp?boekId=113	http://web.archive.org/web/20191126091759/https://www.literatuurplein.nl/boekdetail?boekId=113	200	Klik
248	https://www.literatuurplein.nl/boekdetail.jsp?boekId=248	http://web.archive.org/web/20191127024240/https://www.literatuurplein.nl/boekdetail?boekId=248	200	Klik
332	https://www.literatuurplein.nl/boekdetail.jsp?boekId=332	http://web.archive.org/web/20191127025537/https://www.literatuurplein.nl/boekdetail?boekId=332	200	Klik
413	https://www.literatuurplein.nl/boekdetail.jsp?boekId=413	http://web.archive.org/web/20191127040632/https://www.literatuurplein.nl/boekdetail?boekId=413	200	Klik
463	https://www.literatuurplein.nl/boekdetail.jsp?boekId=463	http://web.archive.org/web/20191127191544/https://www.literatuurplein.nl/boekdetail?boekId=463	200	Klik
463	https://www.literatuurplein.nl/detail/boek/de-witte-piet/463	http://web.archive.org/web/20191128125435/https://www.literatuurplein.nl/detail/boek/de-witte-piet/463	200	Klik
476	http://www.literatuurplein.nl/boekdetail.jsp?boekId=476	http://web.archive.org/web/20191127134605/https://literatuurplein.nl/boekdetail?boekId=476	200	Klik
583	https://www.literatuurplein.nl/boekdetail.jsp?boekId=583	http://web.archive.org/web/20191127215259/https://www.literatuurplein.nl/boekdetail?boekId=583	200	Klik
675	https://www.literatuurplein.nl/boekdetail.jsp?boekId=675	http://web.archive.org/web/20191127235958/https://www.literatuurplein.nl/boekdetail?boekId=675	200	Klik
895	https://www.literatuurplein.nl/boekdetail?boekId=895	http://web.archive.org/web/20191128075422/https://www.literatuurplein.nl/boekdetail?boekId=895	200	Klik
919	http://www.literatuurplein.nl/boekdetail.jsp?boekId=919	http://web.archive.org/web/20191127170129/https://literatuurplein.nl/boekdetail?boekId=919	200	Klik
919	https://www.literatuurplein.nl/boekdetail.jsp?boekId=919	http://web.archive.org/web/20191128045006/https://www.literatuurplein.nl/boekdetail?boekId=919	200	Klik
1275	https://www.literatuurplein.nl/boekdetail.jsp?boekId=1275	http://web.archive.org/web/20191126095530/https://www.literatuurplein.nl/boekdetail?boekId=1275	200	Klik
1275	https://www.literatuurplein.nl/detail/boek/alles-over-method-acting/1275	http://web.archive.org/web/20191128081213/https://www.literatuurplein.nl/detail/boek/alles-over-method-acting/1275	200	Klik
1492	http://www.literatuurplein.nl/boekdetail.jsp?boekId=1492	http://web.archive.org/web/20191127125519/https://literatuurplein.nl/boekdetail?boekId=1492	200	Klik
1543	http://www.literatuurplein.nl/boekdetail.jsp?boekId=1543	http://web.archive.org/web/20191127125608/https://literatuurplein.nl/boekdetail?boekId=1543	200	Klik
1602	https://www.literatuurplein.nl/boekdetail.jsp?boekId=1602	http://web.archive.org/web/20191127011219/https://www.literatuurplein.nl/boekdetail?boekId=1602	200	Klik
1840	https://www.literatuurplein.nl/boekdetail.jsp?boekId=1840	http://web.archive.org/web/20191127013710/https://www.literatuurplein.nl/boekdetail?boekId=1840	200	Klik
2095	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2095	http://web.archive.org/web/20191127020407/https://www.literatuurplein.nl/boekdetail?boekId=2095	200	Klik
2095	https://www.literatuurplein.nl/detail/boek/professionele-gesprekstechnieken/2095	http://web.archive.org/web/20191128174713/https://www.literatuurplein.nl/detail/boek/professionele-gesprekstechnieken/2095	200	Klik
2097	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2097	http://web.archive.org/web/20191127020421/https://www.literatuurplein.nl/boekdetail?boekId=2097	200	Klik
2114	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2114	http://web.archive.org/web/20191127020532/https://www.literatuurplein.nl/boekdetail?boekId=2114	200	Klik
2143	http://www.literatuurplein.nl/boekdetail.jsp?boekId=2143	http://web.archive.org/web/20191127130943/https://literatuurplein.nl/boekdetail?boekId=2143	200	Klik
2143	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2143	http://web.archive.org/web/20191127020737/https://www.literatuurplein.nl/boekdetail?boekId=2143	200	Klik
2242	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2242	http://web.archive.org/web/20191127021544/https://www.literatuurplein.nl/boekdetail?boekId=2242	200	Klik
2265	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2265	http://web.archive.org/web/20191127021916/https://www.literatuurplein.nl/boekdetail?boekId=2265	200	Klik
2265	https://www.literatuurplein.nl/detail/boek/in-de-schaduw-van-de-berg-nunusaku/2265	http://web.archive.org/web/20191128140138/https://www.literatuurplein.nl/detail/boek/in-de-schaduw-van-de-berg-nunusaku/2265	200	Klik
2297	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2297	http://web.archive.org/web/20191127022226/https://www.literatuurplein.nl/boekdetail?boekId=2297	200	Klik
2297	https://www.literatuurplein.nl/detail/boek/overleefd/2297	http://web.archive.org/web/20191128174002/https://www.literatuurplein.nl/detail/boek/overleefd/2297	200	Klik
2389	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2389	http://web.archive.org/web/20191127024102/https://www.literatuurplein.nl/boekdetail?boekId=2389	200	Klik
2389	https://www.literatuurplein.nl/boekdetail?boekId=2389	http://web.archive.org/web/20191128073141/https://www.literatuurplein.nl/boekdetail?boekId=2389	200	Klik
2429	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2429	http://web.archive.org/web/20191127024153/https://www.literatuurplein.nl/boekdetail?boekId=2429	200	Klik
2454	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2454	http://web.archive.org/web/20191127024220/https://www.literatuurplein.nl/boekdetail?boekId=2454	200	Klik
2482	http://www.literatuurplein.nl/boekdetail.jsp?boekId=2482	http://web.archive.org/web/20191127131645/https://literatuurplein.nl/boekdetail?boekId=2482	200	Klik
2482	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2482	http://web.archive.org/web/20191127024247/https://www.literatuurplein.nl/boekdetail?boekId=2482	200	Klik
2616	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2616	http://web.archive.org/web/20191127024430/https://www.literatuurplein.nl/boekdetail?boekId=2616	200	Klik
2885	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2885	http://web.archive.org/web/20191127024926/https://www.literatuurplein.nl/boekdetail?boekId=2885	200	Klik
2908	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2908	http://web.archive.org/web/20191127025008/https://www.literatuurplein.nl/boekdetail?boekId=2908	200	Klik
2981	http://www.literatuurplein.nl/boekdetail.jsp?boekId=2981	http://web.archive.org/web/20191127131847/https://literatuurplein.nl/boekdetail?boekId=2981	200	Klik
2981	https://www.literatuurplein.nl/boekdetail.jsp?boekId=2981	http://web.archive.org/web/20191127025136/https://www.literatuurplein.nl/boekdetail?boekId=2981	200	Klik
