ID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-05122019	
1203	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=1203	http://web.archive.org/web/20191129192522/https://www.literatuurplein.nl/evenementdetail?eventId=1203	200	Klik
2167	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=2167	http://web.archive.org/web/20191129192543/https://www.literatuurplein.nl/evenementdetail?eventId=2167	200	Klik
4112	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=4112	http://web.archive.org/web/20191129192757/https://www.literatuurplein.nl/evenementdetail?eventId=4112	200	Klik
4112	https://www.literatuurplein.nl/evenementdetail?eventId=4112	http://web.archive.org/web/20191129203405/https://www.literatuurplein.nl/evenementdetail?eventId=4112	200	Klik
4926	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=4926	http://web.archive.org/web/20191129192910/https://www.literatuurplein.nl/evenementdetail?eventId=4926	200	Klik
6043	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=6043	http://web.archive.org/web/20191129193032/https://www.literatuurplein.nl/evenementdetail?eventId=6043	200	Klik
6479	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=6479	http://web.archive.org/web/20191129193121/https://www.literatuurplein.nl/evenementdetail?eventId=6479	200	Klik
7621	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=7621	http://web.archive.org/web/20191129193827/https://www.literatuurplein.nl/evenementdetail?eventId=7621	200	Klik
7999	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=7999	http://web.archive.org/web/20191129194100/https://www.literatuurplein.nl/evenementdetail?eventId=7999	200	Klik
8980	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=8980	http://web.archive.org/web/20191129194808/https://www.literatuurplein.nl/evenementdetail?eventId=8980	200	Klik
10319	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=10319	http://web.archive.org/web/20191129192359/https://www.literatuurplein.nl/evenementdetail?eventId=10319	200	Klik
11174	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=11174	http://web.archive.org/web/20191129192508/https://www.literatuurplein.nl/evenementdetail?eventId=11174	200	Klik
11779	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=11779	http://web.archive.org/web/20191129192515/https://www.literatuurplein.nl/evenementdetail?eventId=11779	200	Klik
14258	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=14258	http://web.archive.org/web/20191129192529/https://www.literatuurplein.nl/evenementdetail?eventId=14258	200	Klik
14762	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=14762	http://web.archive.org/web/20191129192536/https://www.literatuurplein.nl/evenementdetail?eventId=14762	200	Klik
28763	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=28763	http://web.archive.org/web/20191129192550/https://www.literatuurplein.nl/evenementdetail?eventId=28763	200	Klik
28764	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=28764	http://web.archive.org/web/20191129192557/https://www.literatuurplein.nl/evenementdetail?eventId=28764	200	Klik
28863	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=28863	http://web.archive.org/web/20191129192604/https://www.literatuurplein.nl/evenementdetail?eventId=28863	200	Klik
28863	https://www.literatuurplein.nl/evenementdetail?eventId=28863	http://web.archive.org/web/20191129203359/https://www.literatuurplein.nl/evenementdetail?eventId=28863	200	Klik
28916	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=28916	http://web.archive.org/web/20191129192611/https://www.literatuurplein.nl/evenementdetail?eventId=28916	200	Klik
30247	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=30247	http://web.archive.org/web/20191129192618/https://www.literatuurplein.nl/evenementdetail?eventId=30247	200	Klik
30788	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=30788	http://web.archive.org/web/20191129192625/https://www.literatuurplein.nl/evenementdetail?eventId=30788	200	Klik
32325	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=32325	http://web.archive.org/web/20191129192632/https://www.literatuurplein.nl/evenementdetail?eventId=32325	200	Klik
32469	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=32469	http://web.archive.org/web/20191129192640/https://www.literatuurplein.nl/evenementdetail?eventId=32469	200	Klik
34648	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=34648	http://web.archive.org/web/20191129192647/https://www.literatuurplein.nl/evenementdetail?eventId=34648	200	Klik
35452	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=35452	http://web.archive.org/web/20191129192703/https://www.literatuurplein.nl/evenementdetail?eventId=35452	200	Klik
35702	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=35702	http://web.archive.org/web/20191129192710/https://www.literatuurplein.nl/evenementdetail?eventId=35702	200	Klik
37223	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=37223	http://web.archive.org/web/20191129192716/https://www.literatuurplein.nl/evenementdetail?eventId=37223	200	Klik
39209	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=39209	http://web.archive.org/web/20191129192743/https://www.literatuurplein.nl/evenementdetail?eventId=39209	200	Klik
41040	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=41040	http://web.archive.org/web/20191129192750/https://www.literatuurplein.nl/evenementdetail?eventId=41040	200	Klik
41531	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=41531	http://web.archive.org/web/20191129192804/https://www.literatuurplein.nl/evenementdetail?eventId=41531	200	Klik
41861	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=41861	http://web.archive.org/web/20191129192812/https://www.literatuurplein.nl/evenementdetail?eventId=41861	200	Klik
41912	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=41912	http://web.archive.org/web/20191129192820/https://www.literatuurplein.nl/evenementdetail?eventId=41912	200	Klik
44148	https://www.literatuurplein.nl/evenementdetail.jsp?eventId=44148	http://web.archive.org/web/20191129192827/https://www.literatuurplein.nl/evenementdetail?eventId=44148	200	Klik
