PlaatsID	Plaats	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-12122019	
1	Bergen op Zoom	https://literatuurplein.nl/detail/excursie/bergen-op-zoom/1	http://web.archive.org/web/20191127184543/https://literatuurplein.nl/detail/excursie/bergen-op-zoom/1	200	Klik
1	Bergen op Zoom	https://www.literatuurplein.nl/excursie.jsp?excursieId=1	http://web.archive.org/web/20191129203431/https://www.literatuurplein.nl/detail/excursie/bergen-op-zoom/1	200	Klik
2	Maastricht	https://literatuurplein.nl/detail/excursie/maastricht/2	http://web.archive.org/web/20191127190004/https://literatuurplein.nl/detail/excursie/maastricht/2	200	Klik
3	Nijmegen	https://literatuurplein.nl/detail/excursie/nijmegen/3	http://web.archive.org/web/20191127190233/https://literatuurplein.nl/detail/excursie/nijmegen/3	200	Klik
4	Gent	https://literatuurplein.nl/detail/excursie/gent/4	http://web.archive.org/web/20191127185256/https://literatuurplein.nl/detail/excursie/gent/4	200	Klik
4	Gent	https://www.literatuurplein.nl/detail/excursie/gent/4	http://web.archive.org/web/20191129103127/https://www.literatuurplein.nl/detail/excursie/gent/4	200	Klik
4	Gent	https://www.literatuurplein.nl/excursie.jsp?excursieId=4	http://web.archive.org/web/20191129212045/https://www.literatuurplein.nl/detail/excursie/gent/4	200	Klik
21	Amsterdam	https://literatuurplein.nl/detail/excursie/amsterdam/21	http://web.archive.org/web/20191127184328/https://literatuurplein.nl/detail/excursie/amsterdam/21	200	Klik
21	Amsterdam	https://www.literatuurplein.nl/detail/excursie/amsterdam/21	http://web.archive.org/web/20191129102931/https://www.literatuurplein.nl/detail/excursie/amsterdam/21	200	Klik
21	Amsterdam	https://www.literatuurplein.nl/excursie.jsp?excursieId=21	http://web.archive.org/web/20191129203841/https://www.literatuurplein.nl/detail/excursie/amsterdam/21	200	Klik
41	Delft	https://literatuurplein.nl/detail/excursie/delft/41	http://web.archive.org/web/20191127185005/https://literatuurplein.nl/detail/excursie/delft/41	200	Klik
