LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/genre.jsp?genre=avonturenroman	http://web.archive.org/web/20191129212501/https://www.literatuurplein.nl/genre?genre=avonturenroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=detectiveroman	http://web.archive.org/web/20191129212511/https://www.literatuurplein.nl/genre?genre=detectiveroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=dokters-,+verpleegsters-+en+ziekenhuisroman	http://web.archive.org/web/20191129212519/https://www.literatuurplein.nl/genre?genre=dokters-,+verpleegsters-+en+ziekenhuisroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=erotische+verhalen	http://web.archive.org/web/20191129212528/https://www.literatuurplein.nl/genre?genre=erotische+verhalen	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=familieroman	http://web.archive.org/web/20191129212537/https://www.literatuurplein.nl/genre?genre=familieroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=griezelverhaal	http://web.archive.org/web/20191129212545/https://www.literatuurplein.nl/genre?genre=griezelverhaal	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=historische+roman	http://web.archive.org/web/20191129212552/https://www.literatuurplein.nl/genre?genre=historische+roman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=humoristische+roman	http://web.archive.org/web/20191129212600/https://www.literatuurplein.nl/genre?genre=humoristische+roman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=kerstverhaal	http://web.archive.org/web/20191129212608/https://www.literatuurplein.nl/genre?genre=kerstverhaal	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=meisjesroman	http://web.archive.org/web/20191129212619/https://www.literatuurplein.nl/genre?genre=meisjesroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=oorlogsroman	http://web.archive.org/web/20191129212627/https://www.literatuurplein.nl/genre?genre=oorlogsroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=paasverhaal	http://web.archive.org/web/20191129212642/https://www.literatuurplein.nl/genre?genre=paasverhaal	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=politieke+roman	http://web.archive.org/web/20191129212650/https://www.literatuurplein.nl/genre?genre=politieke+roman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=protestants+milieu	http://web.archive.org/web/20191129212700/https://www.literatuurplein.nl/genre?genre=protestants+milieu	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=psychologische+roman	http://web.archive.org/web/20191129212709/https://www.literatuurplein.nl/genre?genre=psychologische+roman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=roman+over+het+rassenvraagstuk	http://web.archive.org/web/20191129212717/https://www.literatuurplein.nl/genre?genre=roman+over+het+rassenvraagstuk	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=romantische+verhalen	http://web.archive.org/web/20191129212725/https://www.literatuurplein.nl/genre?genre=romantische+verhalen	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=schoolverhaal	http://web.archive.org/web/20191129212732/https://www.literatuurplein.nl/genre?genre=schoolverhaal	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=science+fiction	http://web.archive.org/web/20191129212741/https://www.literatuurplein.nl/genre?genre=science+fiction	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=sociale+roman	http://web.archive.org/web/20191129212749/https://www.literatuurplein.nl/genre?genre=sociale+roman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=sprookjes	http://web.archive.org/web/20191129212757/https://www.literatuurplein.nl/genre?genre=sprookjes	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=streek-+en+boerenroman	http://web.archive.org/web/20191129212805/https://www.literatuurplein.nl/genre?genre=streek-+en+boerenroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=stripverhaal	http://web.archive.org/web/20191129212814/https://www.literatuurplein.nl/genre?genre=stripverhaal	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=thriller	http://web.archive.org/web/20191129212823/https://www.literatuurplein.nl/genre?genre=thriller	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=verhalenbundel	http://web.archive.org/web/20191129212831/https://www.literatuurplein.nl/genre?genre=verhalenbundel	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=verzetsroman	http://web.archive.org/web/20191129212839/https://www.literatuurplein.nl/genre?genre=verzetsroman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=wild-west+roman	http://web.archive.org/web/20191129212908/https://www.literatuurplein.nl/genre?genre=wild-west+roman	200	Klik
https://www.literatuurplein.nl/genre.jsp?genre=zeeverhaal	http://web.archive.org/web/20191129212916/https://www.literatuurplein.nl/genre?genre=zeeverhaal	200	Klik
https://www.literatuurplein.nl/genre.jsp?paginaStart=100&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	http://web.archive.org/web/20191129212924/https://www.literatuurplein.nl/genre?paginaStart=100&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/genre.jsp?paginaStart=25&genre=streek-+en+boerenroman&sort=TITEL&startjaar=&eindjaar=	http://web.archive.org/web/20191129212931/https://www.literatuurplein.nl/genre?paginaStart=25&genre=streek-+en+boerenroman&sort=TITEL&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/genre.jsp?paginaStart=50&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	http://web.archive.org/web/20191129212938/https://www.literatuurplein.nl/genre?paginaStart=50&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/genre.jsp?paginaStart=75&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	http://web.archive.org/web/20191129212945/https://www.literatuurplein.nl/genre?paginaStart=75&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/genre?genre=detectiveroman	http://web.archive.org/web/20191129212951/https://www.literatuurplein.nl/genre?genre=detectiveroman	200	Klik
https://www.literatuurplein.nl/genre?genre=familieroman	http://web.archive.org/web/20191129212958/https://www.literatuurplein.nl/genre?genre=familieroman	200	Klik
https://www.literatuurplein.nl/genre?genre=oorlogsroman	http://web.archive.org/web/20191129213005/https://www.literatuurplein.nl/genre?genre=oorlogsroman	200	Klik
https://www.literatuurplein.nl/genre?genre=psychologische+roman	http://web.archive.org/web/20191129213012/https://www.literatuurplein.nl/genre?genre=psychologische+roman	200	Klik
https://www.literatuurplein.nl/genre?genre=romantische+verhalen	http://web.archive.org/web/20191129213018/https://www.literatuurplein.nl/genre?genre=romantische+verhalen	200	Klik
https://www.literatuurplein.nl/genre?genre=schoolverhaal	http://web.archive.org/web/20191129213025/https://www.literatuurplein.nl/genre?genre=schoolverhaal	200	Klik
https://www.literatuurplein.nl/genre?genre=sociale+roman	http://web.archive.org/web/20191129213032/https://www.literatuurplein.nl/genre?genre=sociale+roman	200	Klik
https://www.literatuurplein.nl/genre?genre=streek-+en+boerenroman	http://web.archive.org/web/20191129213039/https://www.literatuurplein.nl/genre?genre=streek-+en+boerenroman	200	Klik
https://www.literatuurplein.nl/genre?genre=thriller	http://web.archive.org/web/20191129213047/https://www.literatuurplein.nl/genre?genre=thriller	200	Klik
https://www.literatuurplein.nl/genre?paginaStart=50&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	http://web.archive.org/web/20191129213054/https://www.literatuurplein.nl/genre?paginaStart=50&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/genre?paginaStart=75&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	http://web.archive.org/web/20191129213100/https://www.literatuurplein.nl/genre?paginaStart=75&genre=psychologische+roman&sort=TITEL&startjaar=&eindjaar=	200	Klik
