LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/	http://web.archive.org/web/20191125105524/https://www.literatuurplein.nl/	200	Klik
https://www.literatuurplein.nl/colofon	http://web.archive.org/web/20191128080402/https://www.literatuurplein.nl/colofon	200	Klik
https://www.literatuurplein.nl/colofon.jsp	http://web.archive.org/web/20191128080409/https://www.literatuurplein.nl/colofon	200	Klik
https://www.literatuurplein.nl/columns	http://web.archive.org/web/20191128080415/https://www.literatuurplein.nl/columns	200	Klik
https://www.literatuurplein.nl/columns.jsp	http://web.archive.org/web/20191128080421/https://www.literatuurplein.nl/columns	200	Klik
https://www.literatuurplein.nl/contact	http://web.archive.org/web/20191128080427/https://www.literatuurplein.nl/contact	200	Klik
https://www.literatuurplein.nl/contact.jsp	http://web.archive.org/web/20191128080434/https://www.literatuurplein.nl/contact	200	Klik
https://www.literatuurplein.nl/cursus.jsp	http://web.archive.org/web/20191128080441/https://www.literatuurplein.nl/cursus	200	Klik
https://www.literatuurplein.nl/disclaimer	http://web.archive.org/web/20191129192113/https://www.literatuurplein.nl/disclaimer	200	Klik
https://www.literatuurplein.nl/disclaimer.jsp	http://web.archive.org/web/20191129192120/https://www.literatuurplein.nl/disclaimer	200	Klik
https://www.literatuurplein.nl/index	http://web.archive.org/web/20191129213107/https://www.literatuurplein.nl/index	200	Klik
https://www.literatuurplein.nl/index.html	http://web.archive.org/web/20191129213113/https://www.literatuurplein.nl/index.html	200	Klik
https://www.literatuurplein.nl/index.jsp	http://web.archive.org/web/20191129213120/https://www.literatuurplein.nl/index	200	Klik
https://www.literatuurplein.nl/recent.jsp	http://web.archive.org/web/20191130191927/https://www.literatuurplein.nl/recent	200	Klik
https://www.literatuurplein.nl/sitemap	http://web.archive.org/web/20191130193555/https://www.literatuurplein.nl/sitemap	200	Klik
https://www.literatuurplein.nl/sitemap.jsp	http://web.archive.org/web/20191130193602/https://www.literatuurplein.nl/sitemap	200	Klik
