PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
3	Han G. Hoekstra	Han G.		Hoekstra	https://www.literatuurplein.nl/persdetail?persId=3	http://web.archive.org/web/20191203185027/https://www.literatuurplein.nl/persdetail?persId=3	200	Klik	04-09-1906	Den Haag	15-04-1988	Amsterdam
5	Otfried Preussler	Otfried		Preussler	https://www.literatuurplein.nl/persdetail?persId=5	http://web.archive.org/web/20191203185043/https://www.literatuurplein.nl/persdetail?persId=5	200	Klik	20-10-1923	Liberec	18-02-2013	Prien am Chiemsee 
6	Quentin Blake	Quentin		Blake	https://www.literatuurplein.nl/persdetail?persId=6	http://web.archive.org/web/20191203185100/https://www.literatuurplein.nl/persdetail?persId=6	200	Klik	16-12-1932	Greater London		
7	Roald Dahl	Roald		Dahl	https://www.literatuurplein.nl/persdetail?persId=7	http://web.archive.org/web/20191203185117/https://www.literatuurplein.nl/persdetail?persId=7	200	Klik	13-09-1916	Llandaff	23-11-1990	Oxford
8	Thea Beckman	Thea		Beckman	https://www.literatuurplein.nl/persdetail?persId=8	http://web.archive.org/web/20191203185134/https://www.literatuurplein.nl/persdetail?persId=8	200	Klik	23-07-1923	Rotterdam	04-05-2004	Bunnik
10	Miep Diekmann	Miep		Diekmann	https://www.literatuurplein.nl/persdetail?persId=10	http://web.archive.org/web/20191203185151/https://www.literatuurplein.nl/persdetail?persId=10	200	Klik	26-01-1925	Assen	09-07-2017	Scheveningen
11	Thé Tjong-Khing	Thé		Tjong-Khing	https://www.literatuurplein.nl/persdetail?persId=11	http://web.archive.org/web/20191203185207/https://www.literatuurplein.nl/persdetail?persId=11	200	Klik	04-08-1933	Puworedjo		
20	Dick Van Der Maat	Dick	van der	Maat	https://www.literatuurplein.nl/detail/persoon/dick-van-der-maat/20	http://web.archive.org/web/20191129124725/https://www.literatuurplein.nl/detail/persoon/dick-van-der-maat/20	200	Klik				
21	Jan Terlouw	Jan		Terlouw	https://www.literatuurplein.nl/persdetail?persId=21	http://web.archive.org/web/20191203185225/https://www.literatuurplein.nl/persdetail?persId=21	200	Klik	15-11-1931	Kamperveen		
22	Babs Van Wely	Babs	van	Wely	https://www.literatuurplein.nl/persdetail?persId=22	http://web.archive.org/web/20191203185241/https://www.literatuurplein.nl/persdetail?persId=22	200	Klik	22-10-1924	Sumatra	14-03-2007	
