ID	Dichter	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-13122019	
1	Gerrit Kouwenaar	https://literatuurplein.nl/detail/poezie/gerrit-kouwenaar/1	http://web.archive.org/web/20191201072558/https://literatuurplein.nl/detail/poezie/gerrit-kouwenaar/1	200	Klik
1	Gerrit Kouwenaar	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=1	http://web.archive.org/web/20191130174643/https://www.literatuurplein.nl/detail/poezie/gerrit-kouwenaar/1	200	Klik
2	Jules Deelder	https://literatuurplein.nl/detail/poezie/jules-deelder/2	http://web.archive.org/web/20191201072604/https://literatuurplein.nl/detail/poezie/jules-deelder/2	200	Klik
2	Jules Deelder	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=2	http://web.archive.org/web/20191130174807/https://www.literatuurplein.nl/detail/poezie/jules-deelder/2	200	Klik
3	Hugo Claus	https://literatuurplein.nl/detail/poezie/hugo-claus/3	http://web.archive.org/web/20191201072449/https://literatuurplein.nl/detail/poezie/hugo-claus/3	200	Klik
3	Hugo Claus	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=3	http://web.archive.org/web/20191130174846/https://www.literatuurplein.nl/detail/poezie/hugo-claus/3	200	Klik
4	Ilja Leonard Pfeijffer	https://literatuurplein.nl/detail/poezie/ilja-leonard-pfeijffer/4	http://web.archive.org/web/20191201072610/https://literatuurplein.nl/detail/poezie/ilja-leonard-pfeijffer/4	200	Klik
4	Ilja Leonard Pfeijffer	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=4	http://web.archive.org/web/20191130174853/https://www.literatuurplein.nl/detail/poezie/ilja-leonard-pfeijffer/4	200	Klik
5	Ellen Deckwitz	https://literatuurplein.nl/detail/poezie/ellen-deckwitz/5	http://web.archive.org/web/20191201072634/https://literatuurplein.nl/detail/poezie/ellen-deckwitz/5	200	Klik
5	Ellen Deckwitz	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=5	http://web.archive.org/web/20191130174901/https://www.literatuurplein.nl/detail/poezie/ellen-deckwitz/5	200	Klik
6	Herman de Coninck	https://literatuurplein.nl/detail/poezie/herman-de-coninck/6	http://web.archive.org/web/20191201072531/https://literatuurplein.nl/detail/poezie/herman-de-coninck/6	200	Klik
6	Herman de Coninck	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=6	http://web.archive.org/web/20191130174908/https://www.literatuurplein.nl/detail/poezie/herman-de-coninck/6	200	Klik
21	Andy Fierens	https://literatuurplein.nl/detail/poezie/andy-fierens/21	http://web.archive.org/web/20191201072437/https://literatuurplein.nl/detail/poezie/andy-fierens/21	200	Klik
21	Andy Fierens	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=21	http://web.archive.org/web/20191130174823/https://www.literatuurplein.nl/detail/poezie/andy-fierens/21	200	Klik
22	Judith Herzberg	https://literatuurplein.nl/detail/poezie/judith-herzberg/22	http://web.archive.org/web/20191201072543/https://literatuurplein.nl/detail/poezie/judith-herzberg/22	200	Klik
22	Judith Herzberg	https://www.literatuurplein.nl/poezie_detail.jsp?poezieId=22	http://web.archive.org/web/20191130174830/https://www.literatuurplein.nl/detail/poezie/judith-herzberg/22	200	Klik
