RecensieID	RecensieURL	Recensie	Auteur	RecensieArchiefURL	ArchiefURLStatusCheck-13122019	
1	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=342537	Verbroken zwijgen - Bernlef	Door Jef van Gool	http://web.archive.org/web/20191127111305/https://literatuurplein.nl/detail/recensie/verbroken-zwijgen-van-bernlef/1	200	Klik
1	https://www.literatuurplein.nl/detail/recensie/verbroken-zwijgen/1			http://web.archive.org/web/20191129180559/https://www.literatuurplein.nl/detail/recensie/verbroken-zwijgen/1	200	Klik
1	https://www.literatuurplein.nl/recensie.jsp?recensieId=1			http://web.archive.org/web/20191130174937/https://www.literatuurplein.nl/detail/recensie/verbroken-zwijgen/1	200	Klik
2	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=747950	De geboorte van Venus - Sarah Dunant	Door Jef van Gool	http://web.archive.org/web/20191127105615/https://literatuurplein.nl/detail/recensie/de-geboorte-van-venus-van-sarah-dunant/2	200	Klik
2	https://www.literatuurplein.nl/detail/recensie/de-geboorte-van-venus/2			http://web.archive.org/web/20191129173806/https://www.literatuurplein.nl/detail/recensie/de-geboorte-van-venus/2	200	Klik
2	https://www.literatuurplein.nl/recensie.jsp?recensieId=2			http://web.archive.org/web/20191130175918/https://www.literatuurplein.nl/detail/recensie/-i-de-geboorte-van-venus-i-van-sarah-dunant/2	200	Klik
3	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=512795	De Jane Austen-leesclub - Karen Joy Fowler	Door Jef van Gool	http://web.archive.org/web/20191127111050/https://literatuurplein.nl/detail/recensie/de-jane-austen-leesclub-van-karen-joy-fowler/3	200	Klik
3	https://www.literatuurplein.nl/recensie.jsp?recensieId=3			http://web.archive.org/web/20191130180511/https://www.literatuurplein.nl/detail/recensie/-i-de-jane-austen-leesclub-i-van-karen-joy-fowler-/3	200	Klik
4	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=508743	De ijskoningin - Alice Hoffman	Door Jef van Gool	http://web.archive.org/web/20191127111111/https://literatuurplein.nl/detail/recensie/de-ijskoningin-van-alice-hoffman/4	200	Klik
4	https://www.literatuurplein.nl/detail/recensie/-i-de-ijskoningin-i-van-alice-hoffman-/4			http://web.archive.org/web/20191129174535/https://www.literatuurplein.nl/detail/recensie/-i-de-ijskoningin-i-van-alice-hoffman-/4	200	Klik
4	https://www.literatuurplein.nl/recensie.jsp?recensieId=4			http://web.archive.org/web/20191130181436/https://www.literatuurplein.nl/detail/recensie/-i-de-ijskoningin-i-van-alice-hoffman-/4	200	Klik
5	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=512803	Dit boek redt je leven - A.M. Homes	Door Jef van Gool	http://web.archive.org/web/20191127111043/https://literatuurplein.nl/detail/recensie/dit-boek-redt-je-leven-van-a-m-homes/5	200	Klik
5	https://www.literatuurplein.nl/detail/recensie/dit-boek-redt-je-leven/5			http://web.archive.org/web/20191129173952/https://www.literatuurplein.nl/detail/recensie/dit-boek-redt-je-leven/5	200	Klik
5	https://www.literatuurplein.nl/recensie.jsp?recensieId=5			http://web.archive.org/web/20191130182307/https://www.literatuurplein.nl/detail/recensie/-i-dit-boek-redt-je-leven-i-van-a-m-homes/5	200	Klik
6	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=522031	Mijn oor aan je hart - Hanif Kureishi	Door Jef van Gool	http://web.archive.org/web/20191127111029/https://literatuurplein.nl/detail/recensie/mijn-oor-aan-je-hart-van-hanif-kureishi/6	200	Klik
7	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=410991	Hofstede - Rosina Lippi	Door Jef van Gool	http://web.archive.org/web/20191127111236/https://literatuurplein.nl/detail/recensie/hofstede-van-rosina-lippi/7	200	Klik
8	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=341795	De geliefde van mijn minnaar - Maggie O'Farrell	Door Jef van Gool	http://web.archive.org/web/20191127111311/https://literatuurplein.nl/detail/recensie/de-geliefde-van-mijn-minnaar-van-maggie-o-farrell/8	200	Klik
9	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=75486	Moederzorg - Jayne Anne Phillips	Door Jef van Gool	http://web.archive.org/web/20191127105547/https://literatuurplein.nl/detail/recensie/moederzorg-van-jayne-anne-phillips/9	200	Klik
10	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=486285	Over de grens - Chaja Polak	Door Jef van Gool	http://web.archive.org/web/20191127111153/https://literatuurplein.nl/detail/recensie/over-de-grens-van-chaja-polak/10	200	Klik
10	https://www.literatuurplein.nl/recensie.jsp?recensieId=10			http://web.archive.org/web/20191130174944/https://www.literatuurplein.nl/detail/recensie/over-de-grens/10	200	Klik
11	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=234336	Gek zusje - Emma Richler	Door Jef van Gool	http://web.archive.org/web/20191127111319/https://literatuurplein.nl/detail/recensie/gek-zusje-van-emma-richler/11	200	Klik
12	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=480916	Millenniummensen - J.G. Ballard	Door Jef van Gool	http://web.archive.org/web/20191127111208/https://literatuurplein.nl/detail/recensie/millenniummensen-van-j-g-ballard/12	200	Klik
21	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=492225	Drie slechte schaatsers - Tim Krabbé	Door Jef van Gool	http://web.archive.org/web/20191127111147/https://literatuurplein.nl/detail/recensie/drie-slechte-schaatsers-van-tim-krabbe/21	200	Klik
21	https://www.literatuurplein.nl/recensie.jsp?recensieId=21			http://web.archive.org/web/20191130175948/https://www.literatuurplein.nl/detail/recensie/-i-drie-slechte-schaatsers-i-van-tim-krabbe/21	200	Klik
22	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=79454	Het huis van de zachtmoedige mannen - Kathy Hepinstall	Door Jef van Gool	http://web.archive.org/web/20191127104359/https://literatuurplein.nl/detail/recensie/het-huis-van-de-zachtmoedige-mannen-van-kathy-hepinstall/22	200	Klik
23	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=399415	De truffelminnaar - Gustaf Sobin	Door Jef van Gool	http://web.archive.org/web/20191127111251/https://literatuurplein.nl/detail/recensie/de-truffelminnaar-van-gustaf-sobin/23	200	Klik
24	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=88346	Filippica's - Amélie Nothomb	Door Jef van Gool	http://web.archive.org/web/20191127101856/https://literatuurplein.nl/detail/recensie/filippica-s-van-amelie-nothomb/24	200	Klik
24	https://www.literatuurplein.nl/detail/recensie/filippica-s/24			http://web.archive.org/web/20191129174058/https://www.literatuurplein.nl/detail/recensie/filippica-s/24	200	Klik
24	https://www.literatuurplein.nl/detail/recensie/-i-filippica-s-i-van-amelie-nothomb/24			http://web.archive.org/web/20191129175135/https://www.literatuurplein.nl/detail/recensie/-i-filippica-s-i-van-amelie-nothomb/24	200	Klik
24	https://www.literatuurplein.nl/recensie.jsp?recensieId=24			http://web.archive.org/web/20191130180120/https://www.literatuurplein.nl/detail/recensie/-i-filippica-s-i-van-amelie-nothomb/24	200	Klik
26	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=403064	De belegering - Helen Dunmore	Door Jef van Gool	http://web.archive.org/web/20191127111243/https://literatuurplein.nl/detail/recensie/de-belegering-van-helen-dunmore/26	200	Klik
27	https://www.literatuurplein.nl/recensie.jsp?recensieId=27			http://web.archive.org/web/20191130180346/https://www.literatuurplein.nl/detail/recensie/verkeerde-vrienden/27	200	Klik
28	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=579167	De verborgen rivier - Kate Grenville	Door Jef van Gool	http://web.archive.org/web/20191127110807/https://literatuurplein.nl/detail/recensie/de-verborgen-rivier-van-kate-grenville/28	200	Klik
29	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=544578	Luchtkastelen - Almudena Grandes	Door Jef van Gool	http://web.archive.org/web/20191127111007/https://literatuurplein.nl/detail/recensie/luchtkastelen-van-almudena-grandes/29	200	Klik
30	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=545077	De mars - E.L. Doctorow	Door Jef van Gool	http://web.archive.org/web/20191127110952/https://literatuurplein.nl/detail/recensie/de-mars-van-e-l-doctorow/30	200	Klik
31	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=568285	De Latino's - Leo Pleysier	Door Jef van Gool	http://web.archive.org/web/20191127110814/https://literatuurplein.nl/detail/recensie/de-latino-s-van-leo-pleysier/31	200	Klik
31	https://www.literatuurplein.nl/recensie.jsp?recensieId=31			http://web.archive.org/web/20191130180605/https://www.literatuurplein.nl/detail/recensie/-i-de-latino-s-i-van-leo-pleysier/31	200	Klik
32	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=563732	De wolkenbibliotheek - Stéphane Audeguy	Door Guus Bauer	http://web.archive.org/web/20191127110848/https://literatuurplein.nl/detail/recensie/de-wolkenbibliotheek-van-stephane-audeguy/32	200	Klik
32	https://www.literatuurplein.nl/recensie.jsp?recensieId=32			http://web.archive.org/web/20191130180714/https://www.literatuurplein.nl/detail/recensie/-i-de-wolkenbibliotheek-i-van-stephane-audeguy-/32	200	Klik
33	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=566162	De zichtbare wereld - Mark Slouka	Door Guus Bauer	http://web.archive.org/web/20191127110835/https://literatuurplein.nl/detail/recensie/de-zichtbare-wereld-van-mark-slouka/33	200	Klik
33	https://www.literatuurplein.nl/recensie.jsp?recensieId=33			http://web.archive.org/web/20191130180825/https://www.literatuurplein.nl/detail/recensie/-i-de-zichtbare-wereld-i-van-mark-slouka/33	200	Klik
34	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=563644	Nachtwerk - Thomas Glavinic	Door Guus Bauer	http://web.archive.org/web/20191127110855/https://literatuurplein.nl/detail/recensie/nachtwerk-van-thomas-glavinic/34	200	Klik
35	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=622473	Dünya - Tomas Lieske	Door Guus Bauer	http://web.archive.org/web/20191127110355/https://literatuurplein.nl/detail/recensie/dunya-van-tomas-lieske/35	200	Klik
35	https://www.literatuurplein.nl/detail/recensie/-i-dunya-i-van-tomas-lieske/35			http://web.archive.org/web/20191129175016/https://www.literatuurplein.nl/detail/recensie/-i-dunya-i-van-tomas-lieske/35	200	Klik
35	https://www.literatuurplein.nl/recensie.jsp?recensieId=35			http://web.archive.org/web/20191130180951/https://www.literatuurplein.nl/detail/recensie/-i-dunya-i-van-tomas-lieske/35	200	Klik
36	https://www.literatuurplein.nl/recensie.jsp?recensieId=36			http://web.archive.org/web/20191130181101/https://www.literatuurplein.nl/detail/recensie/-i-verzameld-werk-i-van-arie-visser/36	200	Klik
37	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=567975	Iets tussen broer en zus - Karin Giphart	Door Guus Bauer	http://web.archive.org/web/20191127110828/https://literatuurplein.nl/detail/recensie/iets-tussen-broer-en-zus-van-karin-giphart/37	200	Klik
37	https://www.literatuurplein.nl/recensie.jsp?recensieId=37			http://web.archive.org/web/20191130181201/https://www.literatuurplein.nl/detail/recensie/-i-iets-tussen-broer-en-zus-i-van-karin-giphart/37	200	Klik
38	https://www.literatuurplein.nl/detail/recensie/-i-wanneer-wij-samen-zijn-i-van-karin-amatmoekrim-/38			http://web.archive.org/web/20191129180139/https://www.literatuurplein.nl/detail/recensie/-i-wanneer-wij-samen-zijn-i-van-karin-amatmoekrim-/38	200	Klik
38	https://www.literatuurplein.nl/recensie.jsp?recensieId=38			http://web.archive.org/web/20191130181247/https://www.literatuurplein.nl/detail/recensie/-i-wanneer-wij-samen-zijn-i-van-karin-amatmoekrim-/38	200	Klik
39	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=591291	Montagne Russe - Pieter Waterdrinker	Door Guus Bauer	http://web.archive.org/web/20191127110648/https://literatuurplein.nl/detail/recensie/montagne-russe-van-pieter-waterdrinker/39	200	Klik
39	https://literatuurplein.nl/recensies?action=titelrecensies&boekId=592436	Echt iets voor jou - Thomas Verbogt	Door Guus Bauer	http://web.archive.org/web/20191127110632/https://literatuurplein.nl/detail/recensie/echt-iets-voor-jou-van-thomas-verbogt/39	200	Klik
39	https://www.literatuurplein.nl/recensie.jsp?recensieId=39			http://web.archive.org/web/20191130181350/https://www.literatuurplein.nl/detail/recensie/-i-echt-iets-voor-jou-i-van-thomas-verbogt-en-i-montagne-russe-i-van-pieter-waterdrinker/39	200	Klik
