LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Aantekenstrookjes	http://web.archive.org/web/20191130193622/https://www.literatuurplein.nl/trefwoord?trefwoord=Aantekenstrookjes	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Activiteitenbegeleiding	http://web.archive.org/web/20191130193629/https://www.literatuurplein.nl/trefwoord?trefwoord=Activiteitenbegeleiding	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Acupressuur	http://web.archive.org/web/20191130193636/https://www.literatuurplein.nl/trefwoord?trefwoord=Acupressuur	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Administratieve organisatie	http://web.archive.org/web/20191130193643/https://www.literatuurplein.nl/trefwoord?trefwoord=Administratieve%20organisatie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Aikido	http://web.archive.org/web/20191130193650/https://www.literatuurplein.nl/trefwoord?trefwoord=Aikido	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Algemene geschiedenis, Atlassen	http://web.archive.org/web/20191130193657/https://www.literatuurplein.nl/trefwoord?trefwoord=Algemene%20geschiedenis,%20Atlassen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Alleenstaanden	http://web.archive.org/web/20191130193704/https://www.literatuurplein.nl/trefwoord?trefwoord=Alleenstaanden	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Amerikaanse Burgeroorlog (1861-1865)	http://web.archive.org/web/20191130193711/https://www.literatuurplein.nl/trefwoord?trefwoord=Amerikaanse%20Burgeroorlog%20(1861-1865)	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Amerikaanse Vrijheidsoorlog (1775-1783)	http://web.archive.org/web/20191130193718/https://www.literatuurplein.nl/trefwoord?trefwoord=Amerikaanse%20Vrijheidsoorlog%20(1775-1783)	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Analfabetisme	http://web.archive.org/web/20191130193725/https://www.literatuurplein.nl/trefwoord?trefwoord=Analfabetisme	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Antilliaanse keuken	http://web.archive.org/web/20191130193732/https://www.literatuurplein.nl/trefwoord?trefwoord=Antilliaanse%20keuken	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Aquarelleren	http://web.archive.org/web/20191130193739/https://www.literatuurplein.nl/trefwoord?trefwoord=Aquarelleren	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Aquariumvissen	http://web.archive.org/web/20191130193747/https://www.literatuurplein.nl/trefwoord?trefwoord=Aquariumvissen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Arbeidsinzet	http://web.archive.org/web/20191130193754/https://www.literatuurplein.nl/trefwoord?trefwoord=Arbeidsinzet	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Aromatherapie	http://web.archive.org/web/20191130193801/https://www.literatuurplein.nl/trefwoord?trefwoord=Aromatherapie	200	Klik
