LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/zoeken-eenvoudig	http://web.archive.org/web/20191130213224/https://www.literatuurplein.nl/zoeken-eenvoudig	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp	http://web.archive.org/web/20191130213231/https://www.literatuurplein.nl/zoeken-eenvoudig	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?paginaStart=100&startjaar=&eindjaar=	http://web.archive.org/web/20191130213238/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=100&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?paginaStart=125&startjaar=&eindjaar=	http://web.archive.org/web/20191130213244/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=125&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?paginaStart=150&startjaar=&eindjaar=	http://web.archive.org/web/20191130213251/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=150&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?paginaStart=25&startjaar=&eindjaar=	http://web.archive.org/web/20191130213258/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=25&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?paginaStart=50&startjaar=&eindjaar=	http://web.archive.org/web/20191130213306/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=50&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?paginaStart=75&startjaar=&eindjaar=	http://web.archive.org/web/20191130213312/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=75&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?pTekst=&pMode=auteur	http://web.archive.org/web/20191130213319/https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=&pMode=auteur	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?pTekst=Aangelijnd&pMode=boek&submit=	http://web.archive.org/web/20191130213326/https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=Aangelijnd&pMode=boek&submit=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?pTekst=arnon+grunberg&pMode=auteur	http://web.archive.org/web/20191130213341/https://www.literatuurplein.nl/detail/persoon/arnon-grunberg/1481	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?pTekst=nora+roberts&pMode=auteur	http://web.archive.org/web/20191130213403/https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=nora+roberts&pMode=auteur	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?pTekst=Thich&pMode=auteur	http://web.archive.org/web/20191130213410/https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=Thich&pMode=auteur	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?pTekst=zandberg&pMode=auteur	http://web.archive.org/web/20191130213417/https://www.literatuurplein.nl/zoeken-eenvoudig?pTekst=zandberg&pMode=auteur	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig.jsp?sort=JAAR	http://web.archive.org/web/20191130213424/https://www.literatuurplein.nl/zoeken-eenvoudig?sort=JAAR	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=0&startjaar=&eindjaar=	http://web.archive.org/web/20191130213430/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=0&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=100&startjaar=&eindjaar=	http://web.archive.org/web/20191130213436/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=100&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=125&startjaar=&eindjaar=	http://web.archive.org/web/20191130213442/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=125&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=150&startjaar=&eindjaar=	http://web.archive.org/web/20191130213448/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=150&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=175&startjaar=&eindjaar=	http://web.archive.org/web/20191130213454/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=175&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=200&startjaar=&eindjaar=	http://web.archive.org/web/20191130213500/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=200&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=25&startjaar=&eindjaar=	http://web.archive.org/web/20191130213506/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=25&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=250&startjaar=&eindjaar=	http://web.archive.org/web/20191130213512/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=250&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=275&startjaar=&eindjaar=	http://web.archive.org/web/20191130213518/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=275&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=300&startjaar=&eindjaar=	http://web.archive.org/web/20191130213524/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=300&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=350&startjaar=&eindjaar=	http://web.archive.org/web/20191130213557/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=350&startjaar=&eindjaar=	200	Klik
https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=475&startjaar=&eindjaar=	http://web.archive.org/web/20191130213603/https://www.literatuurplein.nl/zoeken-eenvoudig?paginaStart=475&startjaar=&eindjaar=	200	Klik
